index,0,1,2,3,4,5,6,7,8,9,10
0,AMY2_ECOLI,0.21,0.34,0.48,0.5,0.51,0.28,0.39,0.97,0.2,cp
1,PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34,0.63,0.12,cp
2,PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32,0.61,0.26,cp
3,DEOC_ECOLI,0.34,0.33,0.48,0.5,0.38,0.35,0.44,0.81,0.42,cp
4,PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34,0.75,0.27,cp
5,CSPA_ECOLI,0.31,0.23,0.48,0.5,0.73,0.05,0.14,0.77,0.21,cp
6,NLPB_ECOLI,0.66,0.49,1,0.5,0.54,0.56,0.36,0.5,0.39,omL
7,PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25,0.46,0.05,cp
8,PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81,0.05,0.45,im
9,ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25,0.49,0.52,pp
10,DSBA_ECOLI,0.71,0.71,0.48,0.5,0.4,0.54,0.39,0.47,0.61,pp
11,EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1,0.99,0.55,0.65,im
12,CAFA_ECOLI,0.39,0.32,0.48,0.5,0.46,0.24,0.35,0.08,0.52,cp
13,GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86,0.16,0.46,im
14,DGAL_ECOLI,0.63,1,0.48,0.5,0.35,0.51,0.49,0.68,0.37,pp
15,THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39,0.7,0.46,cp
16,TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56,0.88,0.14,pp
17,SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44,0.74,0.07,cp
18,SYGA_ECOLI,0.51,0.49,0.48,0.5,0.53,0.14,0.26,0.29,0.15,cp
19,BTUR_ECOLI,0.25,0.48,0.48,0.5,0.44,0.17,0.29,0.04,0.56,cp
20,MASY_ECOLI,0.18,0.3,0.48,0.5,0.46,0.24,0.35,0.01,0.05,cp
21,PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38,0.53,0,cp
22,C562_ECOLI,0.72,0.86,0.48,0.5,0.17,0.55,0.21,0.95,0.12,pp
23,SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48,0.93,0.1,pp
24,CHEY_ECOLI,0.23,0.4,0.48,0.5,0.39,0.28,0.38,0.63,0,cp
25,PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39,0.9,0,cp
